6,"[u'0003', u'0010', u'0012', u'0016', u'0021', u'0023', u'0035', u'0036', u'0057', u'0058', u'0059', u'0068', u'0073', u'0076', u'0079', u'0081', u'0090', u'0107', u'0115', u'0120', u'0129', u'0143', u'0153', u'0166', u'0177', u'0187', u'0204', u'0214', u'0265', u'0269', u'0273', u'0284', u'0311', u'0333', u'0342', u'0346', u'0356', u'0509', u'0518', u'0524', u'0531', u'0552', u'0580', u'0582', u'0585', u'1013', u'1023', u'1033', u'1039', u'1047', u'1050', u'1053', u'1064', u'1066', u'1067', u'1089', u'1091', u'1093', u'1100', u'1107', u'1112', u'1132', u'1136', u'1139', u'1146', u'1149', u'1151', u'1157', u'1164', u'1175', u'1183', u'1190', u'1194', u'1202', u'1207', u'1211', u'1212', u'1213', u'1216', u'1222', u'1226', u'1231', u'1242', u'1247', u'1254', u'1255', u'1265', u'1266', u'1267', u'1272', u'1278', u'1279', u'1283', u'1288', u'1289', u'1292', u'1294', u'1298', u'1299', u'1301', u'1309', u'1313', u'1319', u'1331', u'1337', u'1340', u'1342', u'1357', u'1376', u'1593', u'1598', u'1606', u'1612', u'1614', u'1623', u'2002', u'2003', u'2009', u'2016', u'2023', u'2029', u'2045', u'2050', u'2051', u'2057', u'2060', u'2062', u'2066', u'2068', u'2071', u'2073', u'2077', u'2081', u'2088', u'2097', u'2099', u'2113', u'2117', u'2125', u'2136', u'2154', u'2160', u'2167', u'2173', u'2179', u'2181', u'2194', u'2201', u'2203', u'2210', u'2224', u'2226', u'2256', u'2258', u'2289', u'2310', u'2316', u'2334', u'2358', u'2368', u'2373', u'2394', u'2402', u'2404', u'2412', u'2423', u'2433', u'2442', u'2448', u'2454', u'2458', u'2462', u'2464', u'2472', u'2478', u'2482', u'2485', u'2495', u'2497', u'2514', u'2526', u'2537', u'2562', u'2579', u'2586', u'2593', u'2596', u'2616', u'2635', u'2641', u'2661', u'2742', u'2747', u'2804', u'2827', u'3007']"
210,"[u'0043', u'0091', u'0171', u'0213', u'0247', u'0503', u'0507', u'0508', u'0520', u'0597', u'1049', u'1103', u'1116', u'1161', u'1201', u'1243', u'1245', u'1253', u'1259', u'1271', u'2008', u'2026', u'2058', u'2163', u'2178', u'2380', u'2403', u'2425', u'2698']"
450,"[u'0050', u'0287', u'0322', u'0355', u'0528', u'0571', u'1273', u'1291', u'1312', u'1316', u'1320', u'2212', u'2438', u'2444', u'2614', u'2644', u'2711', u'2763']"
310,"[u'0042', u'0089', u'0092', u'0097', u'0098', u'0106', u'0116', u'0120', u'0145', u'0146', u'0154', u'0157', u'0168', u'0191', u'0202', u'0203', u'0215', u'0232', u'0245', u'0246', u'0263', u'0284', u'0288', u'0290', u'0303', u'0310', u'0312', u'0324', u'0332', u'0341', u'0352', u'0515', u'0517', u'0528', u'0537', u'0541', u'0547', u'0549', u'0550', u'0551', u'0557', u'0560', u'0561', u'0568', u'0570', u'0573', u'0579', u'0595', u'0599', u'0604', u'0611', u'0614', u'0615', u'0625', u'0633', u'1002', u'1011', u'1016', u'1020', u'1056', u'1058', u'1086', u'1092', u'1105', u'1126', u'1138', u'1140', u'1167', u'1175', u'1176', u'1189', u'1209', u'1222', u'1230', u'1246', u'1269', u'1277', u'1291', u'1306', u'1320', u'1335', u'1580', u'1589', u'1594', u'1603', u'1611', u'2011', u'2022', u'2028', u'2035', u'2040', u'2069', u'2090', u'2117', u'2118', u'2129', u'2130', u'2134', u'2138', u'2156', u'2166', u'2181', u'2182', u'2186', u'2199', u'2200', u'2214', u'2219', u'2237', u'2244', u'2254', u'2263', u'2272', u'2284', u'2285', u'2294', u'2296', u'2303', u'2305', u'2312', u'2321', u'2326', u'2331', u'2333', u'2369', u'2420', u'2431', u'2436', u'2437', u'2439', u'2449', u'2457', u'2502', u'2510', u'2538', u'2566', u'2567', u'2585', u'2595', u'2600', u'2603', u'2605', u'2607', u'2611', u'2630', u'2660', u'2665', u'2671', u'2680', u'2698', u'2703', u'2709', u'2710', u'2713', u'2722', u'2725', u'2741', u'2743', u'2749', u'2754', u'2757', u'2759', u'2761', u'2768', u'2830', u'3003']"
330,[u'2274']
110,"[u'0151', u'0156', u'0179', u'0181', u'0186', u'0188', u'0207', u'0283', u'0286', u'0300', u'0310', u'0312', u'0518', u'0529', u'0535', u'0539', u'0558', u'0564', u'0569', u'0600', u'0612', u'0622', u'1046', u'1057', u'1067', u'1080', u'1083', u'1085', u'1093', u'1110', u'1166', u'1283', u'1287', u'1333', u'1351', u'2138', u'2157', u'2161', u'2180', u'2317', u'2383', u'2426', u'2435', u'2441', u'2447', u'2565', u'2592', u'2609', u'2656', u'2717']"
520,"[u'0065', u'0130', u'0254', u'0326', u'0329', u'0339', u'1012', u'1030', u'1142', u'1251', u'1330', u'2015', u'2170', u'2255', u'2364', u'2468', u'2723']"
3,"[u'0105', u'0109', u'0110', u'0151', u'0264', u'0350', u'1001', u'1012', u'1022', u'1031', u'1037', u'1078', u'1087', u'1102', u'1145', u'1155', u'1188', u'1233', u'1244', u'1282', u'1293', u'1300', u'1314', u'1346', u'1602', u'2067', u'2255', u'2348', u'2365', u'2369', u'2401', u'2428', u'2435', u'2437', u'2438', u'2512', u'2523', u'2570', u'2584', u'2596', u'2613', u'2643', u'2680', u'2710', u'2740', u'3002']"
1,"[u'0001', u'0011', u'0018', u'0028', u'0033', u'0038', u'0046', u'0049', u'0051', u'0061', u'0065', u'0087', u'0100', u'0105', u'0112', u'0123', u'0124', u'0136', u'0138', u'0161', u'0167', u'0188', u'0196', u'0209', u'0219', u'0226', u'0227', u'0231', u'0242', u'0257', u'0258', u'0272', u'0298', u'0310', u'0339', u'0347', u'0509', u'0518', u'0527', u'0534', u'0536', u'0539', u'0545', u'0549', u'0553', u'0560', u'0566', u'0567', u'0577', u'0584', u'0589', u'0593', u'0608', u'0619', u'0631', u'1008', u'1017', u'1018', u'1029', u'1030', u'1035', u'1043', u'1051', u'1052', u'1062', u'1074', u'1080', u'1129', u'1142', u'1148', u'1153', u'1187', u'1237', u'1305', u'1509', u'1517', u'1568', u'2013', u'2155', u'2198', u'2242', u'2317', u'2340', u'2400', u'2435', u'2476', u'2515', u'2583', u'2657', u'2729']"
0,"[u'0000', u'0001', u'0002', u'0003', u'0004', u'0007', u'0011', u'0015', u'0019', u'0024', u'0025', u'0026', u'0027', u'0030', u'0031', u'0032', u'0033', u'0036', u'0040', u'0041', u'0043', u'0045', u'0046', u'0047', u'0048', u'0054', u'0055', u'0057', u'0062', u'0065', u'0066', u'0067', u'0071', u'0074', u'0075', u'0078', u'0082', u'0083', u'0093', u'0094', u'0095', u'0102', u'0110', u'0113', u'0123', u'0124', u'0125', u'0126', u'0128', u'0133', u'0134', u'0135', u'0137', u'0140', u'0141', u'0148', u'0149', u'0158', u'0159', u'0160', u'0163', u'0169', u'0173', u'0174', u'0176', u'0178', u'0183', u'0184', u'0195', u'0200', u'0205', u'0206', u'0209', u'0216', u'0217', u'0218', u'0220', u'0223', u'0226', u'0228', u'0229', u'0230', u'0238', u'0239', u'0240', u'0241', u'0256', u'0257', u'0258', u'0259', u'0267', u'0269', u'0276', u'0277', u'0278', u'0279', u'0280', u'0281', u'0285', u'0286', u'0287', u'0295', u'0296', u'0297', u'0305', u'0306', u'0315', u'0316', u'0317', u'0319', u'0320', u'0325', u'0326', u'0327', u'0328', u'0335', u'0336', u'0337', u'0338', u'0339', u'0345', u'0346', u'0348', u'0350', u'0354', u'0357', u'0358', u'0359', u'0360', u'0500', u'0501', u'0502', u'0505', u'0510', u'0511', u'0521', u'0531', u'0532', u'0533', u'0543', u'0554', u'0556', u'0565', u'0572', u'0576', u'0577', u'0578', u'0582', u'0583', u'0587', u'0588', u'0592', u'0593', u'0608', u'0609', u'0610', u'0630', u'0632', u'1000', u'1004', u'1005', u'1006', u'1007', u'1008', u'1010', u'1017', u'1018', u'1019', u'1027', u'1035', u'1041', u'1062', u'1075', u'1084', u'1091', u'1119', u'1124', u'1125', u'1129', u'1135', u'1136', u'1147', u'1153', u'1165', u'1172', u'1179', u'1186', u'1192', u'1224', u'1249', u'1285', u'1295', u'1336', u'1347', u'1356', u'1367', u'1368', u'1500', u'1510', u'1516', u'1563', u'1587', u'1588', u'1600', u'1601', u'1608', u'1616', u'2000', u'2006', u'2012', u'2018', u'2024', u'2031', u'2049', u'2058', u'2070', u'2100', u'2102', u'2131', u'2149', u'2165', u'2185', u'2197', u'2204', u'2206', u'2216', u'2217', u'2252', u'2259', u'2260', u'2271', u'2300', u'2350', u'2369', u'2399', u'2406', u'2407', u'2408', u'2424', u'2489', u'2490', u'2501', u'2508', u'2522', u'2525', u'2544', u'2582', u'2599', u'2616', u'2639', u'2656', u'2662', u'2663', u'2669', u'2670', u'2684', u'2699', u'2717', u'2728', u'2738', u'2739', u'2745', u'2752', u'2765', u'2766', u'2772', u'2780', u'2792', u'2798', u'2799', u'2805', u'2806', u'2816', u'3000', u'3001']"
320,"[u'0227', u'0260', u'0281', u'0328', u'0340', u'0347', u'0348', u'0514', u'0521', u'0567', u'0631', u'1028', u'1052', u'1063', u'1077', u'1080', u'1509', u'1588', u'2019', u'2069', u'2082', u'2104', u'2176', u'2190', u'2202', u'2216', u'2236', u'2299', u'2302', u'2312', u'2409', u'2546', u'2600', u'2601', u'2631', u'2681', u'2690', u'2727', u'2729', u'2730', u'2756', u'2766']"
2,"[u'0006', u'0017', u'0020', u'0029', u'0039', u'0040', u'0050', u'0063', u'0064', u'0077', u'0084', u'0087', u'0088', u'0101', u'0104', u'0105', u'0111', u'0130', u'0139', u'0176', u'0287', u'0330', u'0506', u'0512', u'0522', u'0528', u'0538', u'0555', u'0571', u'0578', u'1021', u'1042', u'1044', u'1101', u'1111', u'1115', u'1121', u'1137', u'1173', u'1188', u'1203', u'1206', u'1215', u'1227', u'1240', u'1251', u'1252', u'1291', u'1296', u'1312', u'1316', u'1326', u'1346', u'1370', u'1516', u'1564', u'1568', u'1596', u'1601', u'2020', u'2022', u'2027', u'2070', u'2188', u'2205', u'2260', u'2261', u'2273', u'2281', u'2417', u'2440', u'2444', u'2575', u'2583', u'2614', u'2619', u'2644', u'2669', u'2681', u'2700', u'2708', u'2711', u'2727', u'2746', u'2763', u'2783', u'2808']"
5,"[u'0000', u'0009', u'0043', u'0069', u'0091', u'0110', u'0120', u'0121', u'0122', u'0126', u'0131', u'0132', u'0171', u'0172', u'0179', u'0182', u'0190', u'0213', u'0234', u'0243', u'0247', u'0300', u'0353', u'0503', u'0525', u'0529', u'0534', u'0535', u'0553', u'1010', u'1022', u'1024', u'1025', u'1034', u'1038', u'1040', u'1046', u'1049', u'1057', u'1059', u'1079', u'1103', u'1110', u'1116', u'1118', u'1122', u'1128', u'1143', u'1158', u'1161', u'1174', u'1201', u'1218', u'1237', u'1243', u'1245', u'1253', u'1259', u'1260', u'1264', u'1268', u'1270', u'1272', u'1281', u'1287', u'1290', u'1294', u'1295', u'1296', u'1302', u'1303', u'1304', u'1307', u'1319', u'1326', u'1369', u'1512', u'1621', u'2002', u'2011', u'2017', u'2026', u'2056', u'2058', u'2065', u'2072', u'2091', u'2153', u'2157', u'2163', u'2169', u'2178', u'2206', u'2223', u'2297', u'2299', u'2331', u'2362', u'2376', u'2403', u'2447', u'2466', u'2510', u'2516', u'2517', u'2568', u'2606', u'2632', u'2701', u'2730', u'2756']"
4,"[u'0013', u'0025', u'0026', u'0034', u'0037', u'0047', u'0055', u'0060', u'0071', u'0078', u'0085', u'0103', u'0104', u'0108', u'0122', u'0127', u'0147', u'0152', u'0164', u'0165', u'0178', u'0186', u'0192', u'0198', u'0199', u'0204', u'0210', u'0221', u'0259', u'0280', u'0282', u'0285', u'0301', u'0307', u'0330', u'0348', u'0502', u'0503', u'0513', u'0514', u'0523', u'0527', u'0534', u'0536', u'0544', u'0551', u'0553', u'0620', u'1003', u'1017', u'1021', u'1036', u'1039', u'1054', u'1062', u'1073', u'1104', u'1120', u'1133', u'1139', u'1144', u'1149', u'1151', u'1152', u'1156', u'1159', u'1180', u'1181', u'1193', u'1210', u'1212', u'1219', u'1221', u'1234', u'1235', u'1258', u'1275', u'1289', u'1297', u'1299', u'1304', u'1315', u'1336', u'1512', u'1517', u'1574', u'1575', u'1609', u'2000', u'2001', u'2004', u'2006', u'2010', u'2024', u'2031', u'2032', u'2059', u'2065', u'2078', u'2079', u'2087', u'2103', u'2119', u'2152', u'2175', u'2202', u'2218', u'2232', u'2241', u'2243', u'2262', u'2282', u'2298', u'2301', u'2311', u'2320', u'2332', u'2362', u'2380', u'2400', u'2418', u'2427', u'2468', u'2498', u'2509', u'2577', u'2589', u'2620', u'2632', u'2671', u'2718', u'2723', u'2746', u'2758', u'2791', u'2800', u'3006']"
7,"[u'0004', u'0014', u'0080', u'0261', u'0590', u'1026', u'1102', u'1106', u'1117', u'1131', u'1146', u'1157', u'1256', u'1261', u'1271', u'1284', u'1293', u'1300', u'1308', u'1310', u'1328', u'2012', u'2016', u'2075', u'2078', u'2086', u'2177', u'2220', u'2315', u'2323', u'2353', u'2373', u'2479', u'2497', u'2720', u'2767']"
400,"[u'0072', u'0086', u'0117', u'0119', u'0121', u'0122', u'0144', u'0155', u'0172', u'0179', u'0180', u'0189', u'0190', u'0193', u'0200', u'0207', u'0212', u'0214', u'0223', u'0224', u'0225', u'0230', u'0234', u'0235', u'0243', u'0244', u'0266', u'0288', u'0292', u'0304', u'0308', u'0321', u'0342', u'0349', u'0351', u'0519', u'0526', u'0530', u'0531', u'0535', u'0562', u'0575', u'0596', u'0601', u'0616', u'0623', u'0627', u'0634', u'0635', u'1010', u'1014', u'1015', u'1016', u'1033', u'1038', u'1040', u'1048', u'1050', u'1058', u'1065', u'1107', u'1108', u'1127', u'1130', u'1134', u'1138', u'1140', u'1144', u'1150', u'1156', u'1160', u'1162', u'1166', u'1169', u'1174', u'1182', u'1183', u'1196', u'1235', u'1236', u'1245', u'1254', u'1279', u'1280', u'1281', u'1294', u'1296', u'1304', u'1306', u'1309', u'1311', u'1318', u'1319', u'1330', u'1337', u'1339', u'1345', u'1350', u'1358', u'1501', u'1507', u'1565', u'1569', u'1590', u'1594', u'1595', u'1605', u'2005', u'2010', u'2014', u'2021', u'2061', u'2085', u'2089', u'2135', u'2136', u'2137', u'2151', u'2153', u'2157', u'2171', u'2173', u'2191', u'2200', u'2207', u'2222', u'2224', u'2225', u'2245', u'2249', u'2253', u'2283', u'2297', u'2302', u'2306', u'2325', u'2332', u'2334', u'2342', u'2361', u'2364', u'2371', u'2382', u'2402', u'2419', u'2425', u'2443', u'2447', u'2492', u'2503', u'2511', u'2514', u'2534', u'2536', u'2538', u'2555', u'2559', u'2567', u'2568', u'2577', u'2585', u'2605', u'2608', u'2612', u'2620', u'2632', u'2640', u'2658', u'2666', u'2672', u'2677', u'2690', u'2709', u'2712', u'2726', u'2732', u'2748', u'2781', u'3004']"
9,"[u'0005', u'0009', u'0044', u'0052', u'0053', u'0056', u'0057', u'0085', u'0114', u'0142', u'0150', u'0162', u'0165', u'0175', u'0185', u'0197', u'0208', u'0211', u'0222', u'0233', u'0264', u'0268', u'0270', u'0289', u'0328', u'0338', u'0361', u'0512', u'0515', u'0520', u'0583', u'0586', u'0590', u'1004', u'1009', u'1016', u'1060', u'1076', u'1095', u'1105', u'1109', u'1141', u'1154', u'1172', u'1189', u'1200', u'1208', u'1232', u'1241', u'1248', u'1250', u'1257', u'1269', u'1275', u'1276', u'1293', u'1310', u'1325', u'1502', u'1503', u'1562', u'1610', u'2030', u'2039', u'2048', u'2101', u'2123', u'2150', u'2162', u'2189', u'2195', u'2286', u'2330', u'2331', u'2335', u'2353', u'2356', u'2372', u'2455', u'2460', u'2494', u'2606', u'2610', u'2706', u'2707', u'2711', u'2753', u'2755', u'2773']"
420,"[u'0005', u'0044', u'0053', u'0056', u'0142', u'0150', u'0197', u'0211', u'0222', u'0264', u'0291', u'0338', u'0361', u'1009', u'1060', u'1141', u'1172', u'1189', u'1200', u'1232', u'1257', u'1269', u'1275', u'1276', u'1610', u'2039', u'2048', u'2101', u'2150', u'2286', u'2460', u'2610', u'2706', u'2720']"
500,"[u'0013', u'0033', u'0087', u'0267', u'0301', u'0353', u'0354', u'1017', u'1070', u'1173', u'2322', u'2547']"
200,"[u'0008', u'0030', u'0041', u'0043', u'0067', u'0082', u'0110', u'0154', u'0170', u'0228', u'0285', u'0319', u'0325', u'0327', u'0348', u'0507', u'0508', u'0516', u'0517', u'0518', u'0524', u'0525', u'0531', u'0540', u'0542', u'0598', u'0613', u'0632', u'1015', u'1028', u'1032', u'1045', u'1084', u'1114', u'1125', u'1131', u'1186', u'1192', u'1195', u'1227', u'1234', u'1237', u'1315', u'1316', u'1326', u'1335', u'1356', u'1368', u'1500', u'1512', u'1608', u'1614', u'2030', u'2060', u'2102', u'2169', u'2187', u'2223', u'2350', u'2428', u'2545', u'2576', u'2599', u'2656', u'2657', u'2699', u'2701', u'2718', u'2728', u'2745', u'2772', u'2780', u'2808']"
300,"[u'0585', u'1176', u'2057', u'2301', u'2611', u'2712']"
440,"[u'0021', u'0023', u'0035', u'0058', u'0059', u'0068', u'0081', u'0129', u'0143', u'0153', u'0214', u'0265', u'0284', u'0311', u'0342', u'0356', u'0585', u'1023', u'1033', u'1050', u'1067', u'1093', u'1100', u'1132', u'1136', u'1157', u'1183', u'1190', u'1194', u'1202', u'1213', u'1216', u'1231', u'1247', u'1254', u'1266', u'1267', u'1279', u'1283', u'1288', u'1289', u'1298', u'1301', u'1376', u'1593', u'1598', u'1606', u'1612', u'2003', u'2009', u'2016', u'2023', u'2117', u'2136', u'2160', u'2167', u'2173', u'2181', u'2201', u'2334', u'2402', u'2442', u'2482', u'2514', u'2537', u'2593', u'2596', u'2609', u'2616', u'2635', u'2641', u'2661', u'2742', u'2804', u'3007']"
8,"[u'0004', u'0233', u'0261', u'0594', u'1072', u'1076', u'1327', u'1338', u'2177', u'2278', u'2340', u'2411', u'2441', u'2590', u'2629', u'2632']"
100,"[u'0001', u'0018', u'0046', u'0051', u'0061', u'0065', u'0105', u'0124', u'0138', u'0161', u'0167', u'0196', u'0227', u'0231', u'0242', u'0260', u'0272', u'0280', u'0298', u'0325', u'0346', u'0347', u'0505', u'0518', u'0519', u'0539', u'0566', u'0567', u'0584', u'0616', u'0619', u'1018', u'1029', u'1043', u'1052', u'1074', u'1080', u'1153', u'1187', u'1359', u'1369', u'1568', u'2013', u'2019', u'2104', u'2155', u'2198', u'2214', u'2236', u'2242', u'2312', u'2317', u'2326', u'2383', u'2400', u'2426', u'2476', u'2515', u'2586', u'2700', u'2729', u'2747']"
220,"[u'0190', u'0247', u'1128', u'1268', u'1281']"
11,"[u'0348', u'0352', u'1230', u'1358', u'1518', u'2376', u'2672', u'2698', u'2713', u'2741']"
10,"[u'0067', u'0072', u'0086', u'0106', u'0117', u'0118', u'0119', u'0121', u'0122', u'0140', u'0144', u'0146', u'0155', u'0156', u'0172', u'0179', u'0180', u'0189', u'0193', u'0194', u'0200', u'0201', u'0207', u'0212', u'0214', u'0223', u'0224', u'0225', u'0230', u'0234', u'0235', u'0244', u'0262', u'0266', u'0288', u'0291', u'0292', u'0299', u'0304', u'0308', u'0321', u'0334', u'0342', u'0349', u'0351', u'0508', u'0519', u'0526', u'0530', u'0531', u'0535', u'0542', u'0545', u'0558', u'0562', u'0569', u'0575', u'0596', u'0601', u'0616', u'0623', u'0627', u'0634', u'0635', u'1001', u'1002', u'1010', u'1014', u'1015', u'1016', u'1025', u'1033', u'1038', u'1040', u'1048', u'1050', u'1055', u'1058', u'1065', u'1088', u'1090', u'1095', u'1107', u'1108', u'1127', u'1130', u'1134', u'1138', u'1140', u'1144', u'1150', u'1152', u'1156', u'1160', u'1162', u'1163', u'1166', u'1169', u'1175', u'1178', u'1182', u'1183', u'1185', u'1189', u'1196', u'1214', u'1217', u'1218', u'1235', u'1236', u'1245', u'1246', u'1251', u'1254', u'1262', u'1263', u'1268', u'1270', u'1279', u'1280', u'1281', u'1294', u'1305', u'1309', u'1311', u'1318', u'1324', u'1329', u'1330', u'1337', u'1339', u'1345', u'1350', u'1358', u'1507', u'1519', u'1565', u'1566', u'1569', u'1590', u'1591', u'1594', u'1595', u'1598', u'1605', u'2002', u'2005', u'2010', u'2011', u'2014', u'2017', u'2021', u'2061', u'2062', u'2064', u'2071', u'2076', u'2085', u'2089', u'2095', u'2096', u'2099', u'2118', u'2135', u'2136', u'2137', u'2151', u'2153', u'2157', u'2161', u'2168', u'2170', u'2171', u'2173', u'2181', u'2191', u'2193', u'2200', u'2207', u'2222', u'2224', u'2225', u'2230', u'2233', u'2245', u'2249', u'2251', u'2253', u'2266', u'2283', u'2284', u'2290', u'2291', u'2293', u'2302', u'2304', u'2306', u'2309', u'2313', u'2325', u'2328', u'2332', u'2334', u'2342', u'2344', u'2345', u'2347', u'2361', u'2364', u'2368', u'2370', u'2371', u'2376', u'2380', u'2382', u'2386', u'2390', u'2402', u'2403', u'2405', u'2419', u'2423', u'2425', u'2429', u'2438', u'2443', u'2447', u'2449', u'2456', u'2457', u'2469', u'2478', u'2480', u'2491', u'2492', u'2493', u'2496', u'2500', u'2503', u'2511', u'2514', u'2534', u'2536', u'2538', u'2555', u'2559', u'2567', u'2568', u'2577', u'2581', u'2585', u'2594', u'2608', u'2612', u'2620', u'2640', u'2658', u'2664', u'2666', u'2672', u'2677', u'2679', u'2690', u'2712', u'2722', u'2726', u'2732', u'2748', u'2781', u'2815', u'2828', u'3004', u'3005']"
13,"[u'0232', u'0504', u'1020', u'1056', u'1058', u'1213', u'1234', u'1277', u'1286', u'2019', u'2134', u'2171', u'2187', u'2237', u'2301', u'2303', u'2336', u'2345', u'2363']"
12,"[u'0008', u'0022', u'0042', u'0070', u'0076', u'0082', u'0089', u'0092', u'0096', u'0097', u'0098', u'0106', u'0112', u'0116', u'0145', u'0146', u'0151', u'0154', u'0157', u'0168', u'0170', u'0181', u'0186', u'0191', u'0201', u'0202', u'0203', u'0215', u'0235', u'0245', u'0246', u'0263', u'0271', u'0272', u'0274', u'0290', u'0299', u'0302', u'0303', u'0312', u'0327', u'0329', u'0332', u'0341', u'0507', u'0515', u'0516', u'0517', u'0528', u'0529', u'0530', u'0537', u'0540', u'0541', u'0546', u'0547', u'0548', u'0550', u'0552', u'0557', u'0559', u'0561', u'0568', u'0570', u'0573', u'0574', u'0579', u'0584', u'0595', u'0597', u'0599', u'0600', u'0603', u'0604', u'0611', u'0613', u'0615', u'0621', u'0625', u'0633', u'1002', u'1011', u'1018', u'1024', u'1028', u'1032', u'1037', u'1045', u'1048', u'1052', u'1079', u'1082', u'1086', u'1092', u'1105', u'1114', u'1126', u'1138', u'1140', u'1163', u'1167', u'1175', u'1176', u'1192', u'1195', u'1196', u'1203', u'1209', u'1222', u'1241', u'1246', u'1252', u'1269', u'1273', u'1287', u'1291', u'1306', u'1320', u'1335', u'1345', u'1347', u'1356', u'1359', u'1501', u'1504', u'1580', u'1589', u'1594', u'1603', u'1611', u'2007', u'2008', u'2011', u'2015', u'2022', u'2025', u'2028', u'2035', u'2040', u'2061', u'2063', u'2064', u'2069', u'2076', u'2090', u'2104', u'2106', u'2107', u'2117', u'2129', u'2130', u'2134', u'2138', u'2142', u'2156', u'2157', u'2166', u'2169', u'2181', u'2182', u'2186', u'2199', u'2200', u'2219', u'2244', u'2254', u'2255', u'2263', u'2272', u'2284', u'2285', u'2295', u'2302', u'2305', u'2312', u'2321', u'2326', u'2331', u'2333', u'2342', u'2378', u'2383', u'2397', u'2409', u'2420', u'2431', u'2435', u'2437', u'2443', u'2457', u'2502', u'2507', u'2519', u'2524', u'2538', u'2545', u'2546', u'2565', u'2566', u'2576', u'2585', u'2595', u'2607', u'2608', u'2621', u'2631', u'2642', u'2656', u'2660', u'2665', u'2669', u'2680', u'2703', u'2709', u'2710', u'2741', u'2743', u'2749', u'2754', u'2759', u'2761', u'2768', u'2783', u'2784', u'3003']"
410,"[u'0274', u'0290', u'0293', u'0334', u'1095', u'1163', u'1246', u'1566', u'1598', u'2064', u'2076', u'2095', u'2096', u'2118', u'2161', u'2168', u'2251', u'2290', u'2293', u'2304', u'2313', u'2328', u'2429', u'2457', u'2480', u'2581', u'2594', u'2679', u'2815', u'2828']"
530,"[u'0099', u'0235', u'0271', u'0282', u'0302', u'0333', u'0343', u'0353', u'0355', u'0501', u'0542', u'0564', u'1037', u'1068', u'1083', u'1196', u'1217', u'1330', u'1508', u'1519', u'1596', u'1613', u'2170', u'2326', u'2431', u'2559', u'2644', u'2664', u'2674', u'2734', u'2740', u'2784', u'3005']"
510,"[u'0029', u'0246', u'0355', u'1312', u'1370', u'1613', u'2444', u'2614', u'2784']"
430,"[u'0004', u'0009', u'0323', u'0515', u'0590', u'1076', u'1089', u'1095', u'1283', u'1301', u'1308', u'1328', u'2016', u'2171', u'2315', u'2397', u'2537']"
